module,scenario,status,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,year_eligible_groups,year_wr_min,year_wr_max,year_wr_std,symbol_eligible_groups,symbol_wr_min,symbol_wr_max,symbol_wr_std,discovery_survived,holdout_survived,discovery_failed,holdout_failed,leave_groups_passed,untouched_confirmation
meanrev,breakeven_4,LOW SAMPLE,55,1,26,26,3,0.4727272727272727,0.06885606610384201,0.0462702623958372,-0.044352554117818174,-0.039865563737783216,0.01158347839339309,0.0,0.01158347839339309,1.5524712719121583,10.981818181818182,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5224321402379036,5,0.25,0.625,0.15092983144077682,0,,,,False,False,"sample,wr,symbol,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
meanrev,early_3,LOW SAMPLE,55,1,25,30,0,0.45454545454545453,0.07368403817088268,0.0490759380865573,-0.03998499697249091,-0.03545437336245999,0.011682746274497086,-0.009731563084107941,0.011682746274497086,1.5356601173346804,10.618181818181819,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5215961756856906,5,0.2857142857142857,0.5263157894736842,0.08833387050013165,0,,,,False,False,"sample,wr,expectancy,pf,symbol,year,tail","sample,wr,symbol,year,tail",False,False
meanrev,lock25_1,LOW SAMPLE,56,1,31,25,0,0.5535714285714286,0.02777500195052791,0.008971805363556129,-0.036961381627182176,-0.03226875185625433,-0.0011251692895212356,0.003780849231492578,-0.0011251692895212356,0.9318104708868884,5.892857142857143,4.0,-0.10417027794415878,-0.0692366567804194,-0.08874714799162131,0.6476560522677756,5,0.125,0.7142857142857143,0.213034624708977,0,,,,False,False,"sample,expectancy,pf,winner_size,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
meanrev,lock25_2,LOW SAMPLE,55,1,31,24,0,0.5636363636363636,0.03076385035151966,0.011689959362211955,-0.043719280520705533,-0.04136518409891704,-0.0017378794836331514,0.0057240843174311,-0.0017378794836331514,0.9089042537779233,7.254545454545455,6.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5856624167597765,5,0.25,0.75,0.17698931036985227,0,,,,False,False,"sample,expectancy,pf,winner_size,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
meanrev,lock25_3,LOW SAMPLE,55,1,30,25,0,0.5454545454545454,0.03676983969727055,0.016900824496206335,-0.04451544090725866,-0.0429881023642531,-0.00017801512296999688,0.008237386592929719,-0.00017801512296999688,0.9912023050305194,8.254545454545454,7.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5358179242108099,5,0.25,0.75,0.18201573356001777,0,,,,False,False,"sample,expectancy,pf,winner_size,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
meanrev,lock25_4,LOW SAMPLE,55,1,29,26,0,0.5272727272727272,0.05223889365408644,0.021779388840563296,-0.044352554117818174,-0.039865563737783216,0.006577481980095167,0.01035116507712619,0.006577481980095167,1.3137114528219038,9.418181818181818,8.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5495714828186616,5,0.375,0.625,0.09116912974264221,0,,,,False,False,"sample,expectancy,pf,winner_size,symbol,year,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
meanrev,time_10,LOW SAMPLE,55,1,26,29,0,0.4727272727272727,0.07365165425933544,0.051565567659871414,-0.04102507829862908,-0.03560928546578934,0.013185740728772327,-0.0037253653351255744,0.013185740728772327,1.6095646943353807,11.290909090909091,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.501755304249293,5,0.2857142857142857,0.625,0.1175465325318859,0,,,,False,False,"sample,wr,symbol,year,tail","sample,wr,symbol,year,tail",False,False
meanrev,time_15,LOW SAMPLE,55,1,27,28,0,0.4909090909090909,0.07108036438966457,0.0490759380865573,-0.04219863723405393,-0.03617615528855134,0.013411054472135153,-0.00011654540743621933,0.013411054472135153,1.6242652474062345,11.49090909090909,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5006502257849995,5,0.2857142857142857,0.625,0.12556995206658042,0,,,,False,False,"sample,wr,symbol,tail","sample,wr,symbol,year,tail",True,False
meanrev,time_5,LOW SAMPLE,55,1,26,29,0,0.4727272727272727,0.07365165425933544,0.051565567659871414,-0.04044431452838527,-0.03529946125913064,0.013491961625809975,-0.0037253653351255744,0.013491961625809975,1.6326773832567738,11.054545454545455,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.501755304249293,5,0.2857142857142857,0.625,0.1175465325318859,0,,,,False,False,"sample,wr,symbol,year,tail","sample,wr,symbol,year,tail",False,False
pullback,baseline,INCONCLUSIVE,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438,6,0.29411764705882354,0.47619047619047616,0.07724774838730718,41,0.1111111111111111,0.8333333333333334,0.16691736381503047,False,False,wr,"sample,wr,symbol,year,tail",True,False
pullback,breakeven_1,MIXED,365,0,109,163,93,0.29863013698630136,0.055888015065491,0.025333288944128896,-0.026613613532087407,-0.020271826814071803,0.004804862017556908,0.0,0.004804862017556908,1.40428007210011,4.405479452054794,2.0,-0.1126027235719641,-0.06074770572998076,-0.07868251878685091,0.24734437700583936,6,0.23333333333333334,0.3333333333333333,0.03457100688122158,41,0.0,0.6666666666666666,0.16244292406925592,False,False,"wr,expectancy,pf,symbol,year","sample,wr,symbol,year,tail",False,False
