module,scenario,removed_top,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
pullback,time_10,3,360,0,152,208,0,0.4222222222222222,0.053582390010417924,0.028318019073500622,-0.027289495583177205,-0.0215418122129159,0.006856411667451849,-0.006894329248970543,0.006856411667451849,1.4348510697584393,5.847222222222222,4.0,-0.1245550227332578,-0.06696210344610526,-0.08412320649095416,0.16308308978290798
pullback,time_10,5,358,0,150,208,0,0.41899441340782123,0.05035358663436422,0.02742325651397992,-0.027289495583177205,-0.0215418122129159,0.005242522105736801,-0.007091409459435372,0.005242522105736801,1.3306468988528268,5.835195530726257,4.0,-0.1245550227332578,-0.06697792776194285,-0.08412320649095416,0.1526277108431639
pullback,time_15,0,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438
pullback,time_15,1,362,0,154,208,0,0.425414364640884,0.057159507008772203,0.029334691179618733,-0.027289495583177205,-0.0215418122129159,0.008636323199033312,-0.006799386122525564,0.008636323199033312,1.5507805735461266,5.856353591160221,4.0,-0.1245550227332578,-0.0668576784234782,-0.08321957411186114,0.17319113363889163
pullback,time_15,3,360,0,152,208,0,0.4222222222222222,0.053582390010417924,0.028318019073500622,-0.027289495583177205,-0.0215418122129159,0.006856411667451849,-0.006894329248970543,0.006856411667451849,1.4348510697584393,5.847222222222222,4.0,-0.1245550227332578,-0.06696210344610526,-0.08412320649095416,0.16308308978290798
pullback,time_15,5,358,0,150,208,0,0.41899441340782123,0.05035358663436422,0.02742325651397992,-0.027289495583177205,-0.0215418122129159,0.005242522105736801,-0.007091409459435372,0.005242522105736801,1.3306468988528268,5.835195530726257,4.0,-0.1245550227332578,-0.06697792776194285,-0.08412320649095416,0.1526277108431639
pullback,time_5,0,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438
pullback,time_5,1,362,0,154,208,0,0.425414364640884,0.057159507008772203,0.029334691179618733,-0.027289495583177205,-0.0215418122129159,0.008636323199033312,-0.006799386122525564,0.008636323199033312,1.5507805735461266,5.856353591160221,4.0,-0.1245550227332578,-0.0668576784234782,-0.08321957411186114,0.17319113363889163
pullback,time_5,3,360,0,152,208,0,0.4222222222222222,0.053582390010417924,0.028318019073500622,-0.027289495583177205,-0.0215418122129159,0.006856411667451849,-0.006894329248970543,0.006856411667451849,1.4348510697584393,5.847222222222222,4.0,-0.1245550227332578,-0.06696210344610526,-0.08412320649095416,0.16308308978290798
pullback,time_5,5,358,0,150,208,0,0.41899441340782123,0.05035358663436422,0.02742325651397992,-0.027289495583177205,-0.0215418122129159,0.005242522105736801,-0.007091409459435372,0.005242522105736801,1.3306468988528268,5.835195530726257,4.0,-0.1245550227332578,-0.06697792776194285,-0.08412320649095416,0.1526277108431639
