module,scenario,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,breakeven_4,2025,120,0,39,67,14,0.325,0.06843221688672307,0.04539057134453861,-0.04482543849236384,-0.04166515359272005,-0.0027870660033848045,-0.009124941827003907,-0.0027870660033848045,0.8886400183923977,10.683333333333334,7.0,-0.16202942358134653,-0.0825633838430876,-0.11251771763574574,0.3873607958064178
breakout,breakeven_4,2026,102,1,28,55,19,0.27450980392156865,0.08453912378195398,0.04304738144011577,-0.05048798378660528,-0.045426962689717465,-0.004017094533025286,-0.0087494436500955,-0.004017094533025286,0.8524424259406072,9.450980392156863,7.0,-0.21953813037602288,-0.0858695406445393,-0.12612932514465724,0.5316414629511014
breakout,early_3,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.03815491569775456,-0.031267679668709136,-0.021010005874971528,-0.021360495159926107,-0.021010005874971528,0.27546047300117965,7.28,6.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,early_3,2022,35,0,11,24,0,0.3142857142857143,0.05968243868228062,0.03292121755966737,-0.03279184965851481,-0.031756478360826235,-0.0037285018942648193,-0.02208127067210619,-0.0037285018942648193,0.8341844497206954,10.742857142857142,7.0,-0.09928727415436644,-0.07292567330625635,-0.0932861727078606,0.8054511647081937
breakout,early_3,2023,114,0,45,69,0,0.39473684210526316,0.07683710469840122,0.03297491520671181,-0.03920651960924577,-0.03784418252842414,0.006600174196404346,-0.012768430247553864,0.006600174196404346,1.278133222166204,12.350877192982455,11.0,-0.13822502620668287,-0.07438059684399359,-0.09689099909293325,0.5569636363507412
breakout,early_3,2024,170,0,78,92,0,0.4588235294117647,0.06599458266212765,0.03797078737866766,-0.03874994040891783,-0.03208720794886866,0.009309311353091274,-0.005869228781326452,0.009309311353091274,1.4439229631920607,12.294117647058824,10.0,-0.1437077899233894,-0.08076070311417627,-0.10268151347446852,0.2532081012743948
breakout,early_3,2025,118,0,43,75,0,0.3644067796610169,0.07369851837654603,0.050812591836979726,-0.042994450903536215,-0.04159690800342486,-0.0004707417590994618,-0.021514898947521344,-0.0004707417590994618,0.9827737374145128,11.084745762711865,8.0,-0.1415971387436179,-0.08132609257186241,-0.09977997406291965,0.32622231714078415
breakout,early_3,2026,99,2,32,67,0,0.32323232323232326,0.0881576139156778,0.04304738144011577,-0.04609493646111694,-0.040412020676052096,-0.002700172702961064,-0.0168514449313929,-0.002700172702961064,0.913443693969967,10.06060606060606,7.0,-0.21953813037602288,-0.09209292052165223,-0.14330050573339528,0.46887202151427093
breakout,lock25_1,2021,25,0,13,12,0,0.52,0.021084708828055278,0.01165828992373985,-0.03974437818801502,-0.04534948665111005,-0.008113252939658464,0.002965709585726284,-0.008113252939658464,0.5747169521436332,5.36,3.0,-0.10933888191320018,-0.061661343094814504,-0.08581601447855042,0.795123721169911
breakout,lock25_1,2022,42,0,26,15,1,0.6190476190476191,0.016821177299578,0.005726781231727984,-0.027481492911748572,-0.01828607302990437,0.0005982908598285588,0.0032779124954920302,0.0005982908598285588,1.0609579113077876,3.238095238095238,2.0,-0.11410916267046789,-0.04157189935171101,-0.06775780522876114,0.7418759861926063
