module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,lock25_1,CVX,14,0,8,6,0,0.5714285714285714,0.03216494595903607,0.0043034160464231475,-0.02420106847888052,-0.020356805273182788,0.00800808262850039,0.0020546907775225165,0.00800808262850039,1.772095089498789,5.642857142857143,4.0,-0.05136536844280126,-0.048908467892888365,-0.05136536844280126,0.9730116929646804
breakout,lock25_1,DDOG,11,0,5,6,0,0.45454545454545453,0.014448685512385095,0.00612244897959191,-0.05677817225676022,-0.02198959547461088,-0.024402327816239622,-0.00894120439403756,-0.024402327816239622,0.21206338248916276,2.6363636363636362,2.0,-0.21953813037602288,-0.13860778274093483,-0.21953813037602288,1.0
breakout,lock25_1,DE,14,0,9,5,0,0.6428571428571429,0.024866822325622984,0.01098901411210651,-0.025456546975161375,-0.027470726747901297,0.006894190432485713,0.005970686309666684,0.006894190432485713,1.7583013214555436,4.357142857142857,3.5,-0.048636004969550006,-0.04638137929242457,-0.048636004969550006,0.8995223915430515
breakout,lock25_1,ETN,20,0,10,10,0,0.5,0.013095683779149003,0.006394731314931956,-0.03734967296373293,-0.03137408807340125,-0.012126994592291962,0.0008132331855020269,-0.012126994592291962,0.35062378703730823,5.1,3.0,-0.0855862321524784,-0.07102607280347022,-0.0855862321524784,0.8617595892759393
breakout,lock25_1,GE,20,0,16,4,0,0.8,0.021564987058262805,0.006479748689363629,-0.0443248149119089,-0.049348878956498754,0.008387026664228464,0.005411775514427508,0.008387026664228464,1.9460870486314308,5.45,3.5,-0.062293147043900654,-0.053813654197789426,-0.062293147043900654,0.8430025349135379
breakout,lock25_1,GOOGL,13,0,8,5,0,0.6153846153846154,0.004079257824979837,0.003758899106571012,-0.03381402177421746,-0.047484732394250884,-0.010495080482403739,0.0028726574346591427,-0.010495080482403739,0.19302088830333422,3.6923076923076925,3.0,-0.06094292600285511,-0.05313793077831976,-0.06094292600285511,0.7221660254987579
breakout,lock25_1,GS,15,0,9,6,0,0.6,0.01640493057486138,0.006971429875058055,-0.04891026750610775,-0.05248072939228793,-0.009721148657526275,0.0034779987163278125,-0.009721148657526275,0.5031130909112115,6.533333333333333,4.0,-0.0709964214813733,-0.06761928145664893,-0.0709964214813733,0.8761569745937792
breakout,lock25_1,HD,8,0,4,4,0,0.5,0.006713922774769954,0.005931074345201459,-0.014999553555353179,-0.010739601952328703,-0.004142815390291613,1.8764804904369825e-05,-0.004142815390291613,0.4476081738028681,5.25,4.5,-0.035221287441627,-0.02712823717831349,-0.035221287441627,1.0
breakout,lock25_1,HON,7,0,3,4,0,0.42857142857142855,0.04315420323806821,0.053115659278153204,-0.034047072964704134,-0.028483948047455743,-0.0009608117349445555,-0.005202119063156485,-0.0009608117349445555,0.9506148285376524,8.285714285714286,6.0,-0.07401827670074856,-0.06591994974668534,-0.07401827670074856,1.0
breakout,lock25_1,HOOD,18,0,10,8,0,0.5555555555555556,0.028958149940012733,0.008171573309278535,-0.055767667209048105,-0.03480810356244529,-0.008697768792903194,0.0028900956380227827,-0.008697768792903194,0.6490801791892592,3.7222222222222223,2.0,-0.1437077899233894,-0.12223134706420918,-0.1437077899233894,0.9261288797969559
breakout,lock25_1,JPM,12,0,9,3,0,0.75,0.015111936525702937,0.00439662588069023,-0.035729117840077894,-0.037279025192223814,0.0024016729342577294,0.0036696353141275617,0.0024016729342577294,1.268875704685184,9.833333333333334,7.0,-0.03792858931098919,-0.037571329045668234,-0.03792858931098919,0.8992670656189095
