hypothesis_id,group,group_value,a_n,b_n,a_mean,b_mean,delta,expected_direction
pullback:feature:ema_spread_pct,symbol,CRWD,0,1,,0.11678070848086874,,1
pullback:feature:ema_spread_pct,symbol,CVX,1,1,0.004172779602338972,0.08300466044967725,0.07883188084733828,1
pullback:feature:ema_spread_pct,symbol,DE,6,0,0.027678002803811774,,,1
pullback:feature:ema_spread_pct,symbol,ETN,0,3,,-0.026052721093734355,,1
pullback:feature:ema_spread_pct,symbol,GE,1,0,0.13684166156865962,,,1
pullback:feature:ema_spread_pct,symbol,GS,1,0,-0.022198132339823484,,,1
pullback:feature:ema_spread_pct,symbol,HD,1,0,0.03774966859743745,,,1
pullback:feature:ema_spread_pct,symbol,HON,1,0,0.04745840599334339,,,1
pullback:feature:ema_spread_pct,symbol,HOOD,0,2,,0.16429390890403123,,1
pullback:feature:ema_spread_pct,symbol,LLY,3,2,-0.05503438591495954,0.052831334600970004,0.10786572051592955,1
pullback:feature:ema_spread_pct,symbol,META,0,4,,0.002076429171772698,,1
pullback:feature:ema_spread_pct,symbol,MRVL,1,1,0.12243028707207637,-0.18822047328492364,-0.310650760357,1
pullback:feature:ema_spread_pct,symbol,MS,5,0,0.007905977192184754,,,1
pullback:feature:ema_spread_pct,symbol,MSFT,1,0,-0.042211466338228476,,,1
pullback:feature:ema_spread_pct,symbol,NFLX,0,4,,0.011732675447306301,,1
pullback:feature:ema_spread_pct,symbol,NKE,1,0,-0.02628581140529207,,,1
pullback:feature:ema_spread_pct,symbol,NOW,1,1,0.1065970724253189,-0.039255124218219195,-0.1458521966435381,1
pullback:feature:ema_spread_pct,symbol,NVDA,0,6,,0.07948662963899829,,1
pullback:feature:ema_spread_pct,symbol,ORCL,2,2,0.07464361759399796,0.14361045431970637,0.06896683672570841,1
pullback:feature:ema_spread_pct,symbol,PANW,4,0,0.006212187823067455,,,1
pullback:feature:ema_spread_pct,symbol,PLTR,0,8,,0.05863842367658467,,1
pullback:feature:ema_spread_pct,symbol,RTX,2,0,-0.05614070641981633,,,1
pullback:feature:ema_spread_pct,symbol,SHOP,2,2,0.0046537095525695515,0.03413106639018648,0.02947735683761693,1
pullback:feature:ema_spread_pct,symbol,SMCI,0,7,,-0.06445798961143952,,1
pullback:feature:ema_spread_pct,symbol,TSLA,3,0,0.001362617697770759,,,1
pullback:feature:ema_spread_pct,symbol,TSM,1,2,-0.01945262673967374,0.028476830563304634,0.04792945730297837,1
pullback:feature:ema_spread_pct,symbol,UBER,4,1,0.029967420011105084,0.07414141985509537,0.044173999843990286,1
pullback:feature:ema_spread_pct,symbol,V,2,0,0.020500653651923884,,,1
pullback:feature:ema_spread_pct,symbol,WMT,3,0,-0.001094499033300278,,,1
pullback:feature:ema_spread_pct,symbol,XOM,1,0,-0.06471888230278977,,,1
pullback:feature:atr_pct,year,2021,2,8,-0.06122720425584255,-0.03014723672703233,0.031079967528810218,1
pullback:feature:atr_pct,year,2022,1,6,0.011020791229906512,-0.008462862679662564,-0.019483653909569076,1
pullback:feature:atr_pct,year,2023,19,6,0.008806065057385501,-0.0527369505175308,-0.0615430155749163,1
pullback:feature:atr_pct,year,2024,22,21,0.01674913065801681,0.07562993339509183,0.05888080273707502,1
pullback:feature:atr_pct,year,2025,14,16,-0.006040128872925551,0.01618044587790851,0.02222057475083406,1
pullback:feature:atr_pct,symbol,AAPL,4,0,-0.010672753454502026,,,1
pullback:feature:atr_pct,symbol,ABNB,0,1,,-0.13060552711541984,,1
pullback:feature:atr_pct,symbol,AMD,0,2,,-0.03268380701870133,,1
pullback:feature:atr_pct,symbol,AVGO,0,4,,0.0570381075296536,,1
pullback:feature:atr_pct,symbol,BAC,2,0,0.043433138092413226,,,1
pullback:feature:atr_pct,symbol,CAT,1,0,-0.02393899788145215,,,1
pullback:feature:atr_pct,symbol,COIN,0,4,,0.22439267650951533,,1
pullback:feature:atr_pct,symbol,COP,1,0,-8.579712438161469e-05,,,1
pullback:feature:atr_pct,symbol,COST,5,0,0.022747501972351335,,,1
pullback:feature:atr_pct,symbol,CRWD,0,1,,-0.009492061523699857,,1
pullback:feature:atr_pct,symbol,CVX,1,0,0.004172779602338972,,,1
pullback:feature:atr_pct,symbol,DDOG,0,2,,0.02448180237560149,,1
pullback:feature:atr_pct,symbol,DE,3,0,-0.008832689546615202,,,1
