module,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
meanrev,CAT,4,0,1,3,0,0.25,0.07562377326068126,0.07562377326068126,-0.03934001341850313,-0.024303293320019015,-0.010599066748707031,-0.01936673951223017,-0.010599066748707031,0.6407706106264526,8.25,9.5,-0.07928656123104905,-0.07103907104439454,-0.07928656123104905,1.0
meanrev,COP,2,0,0,2,0,0.0,,,-0.03450588848378383,-0.03450588848378383,-0.03450588848378383,-0.03450588848378383,-0.03450588848378383,0.0,2.5,2.5,-0.03674302511131333,-0.03651931144856038,-0.03674302511131333,
meanrev,CRM,1,0,1,0,0,1.0,0.004226827778222031,0.004226827778222031,,,0.004226827778222031,0.004226827778222031,0.004226827778222031,inf,22.0,22.0,0.004226827778222031,0.004226827778222031,0.004226827778222031,1.0
meanrev,CRWD,2,0,1,1,0,0.5,0.024214218157369016,0.024214218157369016,-0.057948482864196516,-0.057948482864196516,-0.01686713235341375,-0.01686713235341375,-0.01686713235341375,0.4178576722036976,9.0,9.0,-0.057948482864196516,-0.053840347813118236,-0.057948482864196516,1.0
meanrev,CVX,2,0,0,2,0,0.0,,,-0.03365253922483469,-0.03365253922483469,-0.03365253922483469,-0.03365253922483469,-0.03365253922483469,0.0,5.5,5.5,-0.06718853304223316,-0.06383493366049331,-0.06718853304223316,
meanrev,DE,1,0,1,0,0,1.0,0.03527910502502296,0.03527910502502296,,,0.03527910502502296,0.03527910502502296,0.03527910502502296,inf,6.0,6.0,0.03527910502502296,0.03527910502502296,0.03527910502502296,1.0
meanrev,GE,2,0,1,1,0,0.5,0.20502227349152014,0.20502227349152014,-0.0611915456711396,-0.0611915456711396,0.07191536391019027,0.07191536391019027,0.07191536391019027,3.3504999954302,12.5,12.5,-0.0611915456711396,-0.04788085471300661,-0.0611915456711396,1.0
meanrev,GOOGL,2,0,2,0,0,1.0,0.16201540139987258,0.16201540139987258,,,0.16201540139987258,0.16201540139987258,0.16201540139987258,inf,22.0,22.0,0.006904023801538983,0.022415161561372344,0.006904023801538983,1.0
meanrev,GS,1,0,1,0,0,1.0,0.128912119821051,0.128912119821051,,,0.128912119821051,0.128912119821051,0.128912119821051,inf,30.0,30.0,0.128912119821051,0.128912119821051,0.128912119821051,1.0
meanrev,HD,3,0,0,3,0,0.0,,,-0.01880750927674842,-0.01940935873855265,-0.01880750927674842,-0.01940935873855265,-0.01880750927674842,0.0,8.333333333333334,9.0,-0.02728160600758467,-0.02649438128068147,-0.02728160600758467,
