module,configuration,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,group_type,symbol
breakout,ATR2.5-DYNAMIC-TRENDON,2022.0,34,0,12,22,0,0.35294117647058826,0.05680469095695936,0.03219103192603101,-0.03255033878194272,-0.031756478360826235,-0.0010132694623302227,-0.00915943562442384,-0.0010132694623302227,0.9518910722613664,11.117647058823529,8.5,-0.09928727415436644,-0.07395134458876339,-0.0932861727078606,0.7757343309942017,year,
breakout,ATR2.5-DYNAMIC-TRENDON,2023.0,112,0,47,65,0,0.41964285714285715,0.07510718112119383,0.03297491520671181,-0.04149094192316621,-0.03862984407277825,0.007438627568663443,-0.012768430247553864,0.007438627568663443,1.3089186918596158,13.107142857142858,11.0,-0.13822502620668287,-0.07470160775492567,-0.09689099909293325,0.5455455611591891,year,
breakout,ATR2.5-DYNAMIC-TRENDON,2024.0,167,0,79,88,0,0.47305389221556887,0.06559648697689852,0.03592261275129083,-0.041633054849804674,-0.03556261565268093,0.009092297271809406,-0.0037972524447712486,0.009092297271809406,1.414447139819658,12.718562874251496,10.0,-0.1437077899233894,-0.08125779390168215,-0.10268151347446852,0.25152016744710326,year,
breakout,ATR2.5-DYNAMIC-TRENDON,2025.0,115,0,44,71,0,0.3826086956521739,0.0720715057395262,0.0492907889911286,-0.04528403972917983,-0.042169318516553145,-0.00038278754984883686,-0.021477284207526592,-0.00038278754984883686,0.9863084652565404,11.808695652173913,10.0,-0.16202942358134653,-0.08153605622139481,-0.11196985404928012,0.32600526098779636,year,
breakout,ATR2.5-DYNAMIC-TRENDON,2026.0,94,2,35,59,0,0.3723404255319149,0.08455870997021357,0.04353303278555676,-0.051217179453100566,-0.045906824214916764,-0.0006623270082495445,-0.013887027002933539,-0.0006623270082495445,0.9793968962783812,11.340425531914894,8.0,-0.21953813037602288,-0.09372006510507426,-0.13583164708244005,0.4469281713831135,year,
breakout,ATR2.5-LOCKED-TRENDON,2021.0,26,0,6,20,0,0.23076923076923078,0.029765995725380894,0.019661567541042313,-0.041686257862824184,-0.04906922141767395,-0.02519727626554609,-0.022702947750719515,-0.02519727626554609,0.21421444800824554,8.076923076923077,7.0,-0.10933888191320018,-0.07396855386006662,-0.09226123857682156,0.9877484478362659,year,
breakout,ATR2.5-LOCKED-TRENDON,2022.0,34,0,11,23,0,0.3235294117647059,0.06383464101151004,0.04115973795182026,-0.034066750806334124,-0.03302529529736398,-0.0023927711005610097,-0.02005943367900681,-0.0023927711005610097,0.8961703184464492,11.441176470588236,8.0,-0.10397307932514765,-0.07215352511164747,-0.09562907529325121,0.7631376514589376,year,
breakout,ATR2.5-LOCKED-TRENDON,2023.0,107,0,45,62,0,0.4205607476635514,0.09609904771221518,0.03232032399418361,-0.04484933137930055,-0.04008861321777407,0.014428024313392993,-0.01569432804243609,0.014428024313392993,1.5551917203290484,15.429906542056075,11.0,-0.14129202373009808,-0.0784863778751116,-0.11016714842074277,0.5193576172991096,year,
breakout,ATR2.5-LOCKED-TRENDON,2024.0,159,0,76,83,0,0.4779874213836478,0.08081096674488657,0.040570984990550674,-0.04630027817122758,-0.039615583962912204,0.014457298015091137,-0.0057444837022779804,0.014457298015091137,1.5981671586014174,13.40251572327044,10.0,-0.1437077899233894,-0.08594811102719412,-0.11370569980386998,0.34294435431039244,year,
breakout,ATR2.5-LOCKED-TRENDON,2025.0,112,0,43,69,0,0.38392857142857145,0.08317345506165658,0.04207935005782848,-0.04535524838928167,-0.04166515359272005,0.003990593114203551,-0.01956678889767005,0.003990593114203551,1.1428166464800953,12.9375,8.5,-0.16202942358134653,-0.08436014845466593,-0.11609847294907188,0.39741124744149964,year,
breakout,ATR2.5-LOCKED-TRENDON,2026.0,93,3,38,55,0,0.40860215053763443,0.0830038289273143,0.03651042779823743,-0.053506015922097756,-0.0541209535344408,0.0022722002529308198,-0.013620518502360457,0.0022722002529308198,1.071806580957935,10.978494623655914,9.0,-0.21953813037602288,-0.0994281883489722,-0.13676333648826644,0.4701377538400062,year,
breakout,ATR3-DYNAMIC-TRENDON,2021.0,25,0,3,22,0,0.12,0.06052537392574483,0.06968751792635497,-0.05067626666685537,-0.050054916368178715,-0.03733206979574335,-0.04606236481671544,-0.03733206979574335,0.1628663795429416,10.36,9.0,-0.12056700716313629,-0.11432828724070034,-0.11927579435869395,1.0,year,
breakout,ATR3-DYNAMIC-TRENDON,2022.0,33,0,10,23,0,0.30303030303030304,0.0567961927373221,0.029859166284946226,-0.03926651600241745,-0.033344500848116465,-0.010156604263102434,-0.02448593750328898,-0.010156604263102434,0.6288817892780115,13.242424242424242,10.0,-0.09441193158762395,-0.0880091268604262,-0.09175357092332864,0.8738169954059217,year,
breakout,ATR3-DYNAMIC-TRENDON,2023.0,97,0,39,58,0,0.4020618556701031,0.13297670395650224,0.07334187530401115,-0.04439869842288277,-0.038459943231282545,0.02691718500800399,-0.017432524375550984,0.02691718500800399,2.013918720097028,21.50515463917526,15.0,-0.13822502620668287,-0.08398121758707042,-0.11633326799586745,0.5352447984492639,year,
breakout,ATR3-DYNAMIC-TRENDON,2024.0,143,0,66,77,0,0.46153846153846156,0.07523780847087379,0.04297635745877937,-0.05014088795400684,-0.04247738082866892,0.007726202703630371,-0.004726165779404212,0.007726202703630371,1.286166893913939,17.195804195804197,13.0,-0.17244934790806732,-0.10342928815772877,-0.12709491894667446,0.2728448479374848,year,
