symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
NKE,Long,Breakout,2025-08-22,2025-08-22,1,Price,False,1,Price,5,5,True,False,True,2025-08-25,983,1,True,converted,True,True,True,Price
NKE,Long,Breakout,2025-08-27,2025-08-27,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
NKE,Long,Breakout,2025-08-29,2025-08-29,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
NKE,Long,Squeeze,2021-11-03,2021-11-05,3,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
NKE,Long,Squeeze,2021-12-17,2021-12-21,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
NKE,Long,Squeeze,2022-07-29,2022-07-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2022-11-10,2022-11-14,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2022-12-21,2022-12-22,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2023-03-21,2023-03-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2023-05-16,2023-05-16,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
NKE,Long,Squeeze,2023-12-04,2023-12-06,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2024-06-06,2024-06-07,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2024-08-16,2024-08-19,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2025-06-27,2025-07-01,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Squeeze,2025-08-25,2025-08-25,1,Release,False,1,Release,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Release
NKE,Long,Squeeze,2025-09-10,2025-09-12,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
NKE,Long,Mean Reversion,2021-12-07,2021-12-07,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
NKE,Long,Mean Reversion,2023-02-01,2023-02-01,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
NKE,Long,Mean Reversion,2023-02-14,2023-02-14,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
NKE,Long,Mean Reversion,2023-02-17,2023-02-17,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
NKE,Long,Mean Reversion,2023-04-24,2023-04-24,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
NKE,Long,Mean Reversion,2023-04-28,2023-04-28,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
NKE,Long,Mean Reversion,2025-08-22,2025-08-22,1,Oversold,False,1,Oversold,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Oversold
